Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16658664k(6205724k free), swap 39727336k(22385664k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-29T15:36:02.570+0800: 0.175: [GC (Allocation Failure) [PSYoungGen: 65536K->10747K(76288K)] 65536K->24173K(251392K), 0.0061985 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-29T15:36:02.588+0800: 0.193: [GC (Allocation Failure) [PSYoungGen: 76283K->10739K(76288K)] 89709K->44890K(251392K), 0.0080202 secs] [Times: user=0.02 sys=0.03, real=0.01 secs] 
2020-10-29T15:36:02.604+0800: 0.209: [GC (Allocation Failure) [PSYoungGen: 76148K->10745K(76288K)] 110299K->70240K(251392K), 0.0067883 secs] [Times: user=0.03 sys=0.03, real=0.01 secs] 
2020-10-29T15:36:02.620+0800: 0.226: [GC (Allocation Failure) [PSYoungGen: 76236K->10744K(76288K)] 135731K->93306K(251392K), 0.0068217 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
2020-10-29T15:36:02.636+0800: 0.241: [GC (Allocation Failure) [PSYoungGen: 76280K->10734K(76288K)] 158842K->112600K(251392K), 0.0056632 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-29T15:36:02.650+0800: 0.256: [GC (Allocation Failure) [PSYoungGen: 76202K->10735K(40448K)] 178068K->134317K(215552K), 0.0066003 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-29T15:36:02.662+0800: 0.267: [GC (Allocation Failure) [PSYoungGen: 40182K->13876K(58368K)] 163763K->142184K(233472K), 0.0028316 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:02.669+0800: 0.274: [GC (Allocation Failure) [PSYoungGen: 43572K->21133K(58368K)] 171880K->151679K(233472K), 0.0029468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:02.676+0800: 0.281: [GC (Allocation Failure) [PSYoungGen: 50829K->27310K(58368K)] 181375K->161042K(233472K), 0.0053132 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-29T15:36:02.686+0800: 0.291: [GC (Allocation Failure) [PSYoungGen: 56690K->16746K(58368K)] 190421K->166088K(233472K), 0.0057107 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-10-29T15:36:02.692+0800: 0.297: [Full GC (Ergonomics) [PSYoungGen: 16746K->0K(58368K)] [ParOldGen: 149341K->137665K(175104K)] 166088K->137665K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0189302 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.716+0800: 0.321: [GC (Allocation Failure) [PSYoungGen: 29661K->11137K(58368K)] 167327K->148803K(233472K), 0.0015928 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:02.721+0800: 0.326: [GC (Allocation Failure) [PSYoungGen: 40769K->11601K(58368K)] 178434K->159600K(233472K), 0.0028207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:02.724+0800: 0.329: [Full GC (Ergonomics) [PSYoungGen: 11601K->0K(58368K)] [ParOldGen: 147999K->151952K(175104K)] 159600K->151952K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0166024 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.745+0800: 0.350: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 151952K->155167K(175104K)] 181648K->155167K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0171853 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.767+0800: 0.372: [Full GC (Ergonomics) [PSYoungGen: 29586K->0K(58368K)] [ParOldGen: 155167K->160184K(175104K)] 184754K->160184K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0190520 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.790+0800: 0.395: [Full GC (Ergonomics) [PSYoungGen: 29586K->0K(58368K)] [ParOldGen: 160184K->167940K(175104K)] 189770K->167940K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0190260 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.812+0800: 0.418: [Full GC (Ergonomics) [PSYoungGen: 29582K->0K(58368K)] [ParOldGen: 167940K->174729K(175104K)] 197522K->174729K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0177481 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.834+0800: 0.440: [Full GC (Ergonomics) [PSYoungGen: 29696K->7590K(58368K)] [ParOldGen: 174729K->175024K(175104K)] 204425K->182614K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0184259 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.856+0800: 0.462: [Full GC (Ergonomics) [PSYoungGen: 29696K->12920K(58368K)] [ParOldGen: 175024K->174985K(175104K)] 204720K->187906K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0198871 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.878+0800: 0.484: [Full GC (Ergonomics) [PSYoungGen: 29491K->14981K(58368K)] [ParOldGen: 174985K->174822K(175104K)] 204476K->189804K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0186887 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.899+0800: 0.505: [Full GC (Ergonomics) [PSYoungGen: 29520K->16622K(58368K)] [ParOldGen: 174822K->175030K(175104K)] 204343K->191653K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0181582 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.919+0800: 0.524: [Full GC (Ergonomics) [PSYoungGen: 29179K->20149K(58368K)] [ParOldGen: 175030K->175019K(175104K)] 204209K->195169K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0168741 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.937+0800: 0.542: [Full GC (Ergonomics) [PSYoungGen: 29328K->21145K(58368K)] [ParOldGen: 175019K->175031K(175104K)] 204348K->196177K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0196654 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
